mediaID,mediaComments,sequenceID,eventID,deploymentID,observationType,scientificName,confidence,classifiedBy,deploymentTags,true_species,pred_species
63028379-6538-4441-8d4c-17dbfc0a39b2,sequenceID:fdc345f2-323c-4304-aae8-88e70c309f14,fdc345f2-323c-4304-aae8-88e70c309f14,fdc345f2-323c-4304-aae8-88e70c309f14,097f6b30-6c02-4e99-8e75-794640936b75,unclassified,Unclassified,0.0,,Oryctolagus cuniculus,oryctolagus cuniculus,unclassified
3db3420d-c277-4a40-a2a6-4f9a4c1d6156,sequenceID:c92b5c7a-991d-43dd-8a4c-31a991e4cecb,c92b5c7a-991d-43dd-8a4c-31a991e4cecb,c92b5c7a-991d-43dd-8a4c-31a991e4cecb,097f6b30-6c02-4e99-8e75-794640936b75,unclassified,Unclassified,0.0,,Oryctolagus cuniculus,oryctolagus cuniculus,unclassified
5cbe5c7f-a1d8-4072-b1b8-d9b7ebbd2e30,sequenceID:afda266a-5bba-40ae-90f8-3a69daf68c85,afda266a-5bba-40ae-90f8-3a69daf68c85,afda266a-5bba-40ae-90f8-3a69daf68c85,097f6b30-6c02-4e99-8e75-794640936b75,unclassified,Unclassified,0.95,addaxai VIC,Oryctolagus cuniculus,oryctolagus cuniculus,unclassified
cc409fe7-e450-4c8c-bdc0-46bc864591df,sequenceID:0652720f-5bf0-449e-a09a-1cdbdbd503de,0652720f-5bf0-449e-a09a-1cdbdbd503de,0652720f-5bf0-449e-a09a-1cdbdbd503de,097f6b30-6c02-4e99-8e75-794640936b75,animal,Charadriiformes,0.92,addaxai VIC,Oryctolagus cuniculus,oryctolagus cuniculus,charadriiformes
8a1ef594-8c29-4b8e-9e3e-359dc6e47a22,sequenceID:0652720f-5bf0-449e-a09a-1cdbdbd503de,0652720f-5bf0-449e-a09a-1cdbdbd503de,0652720f-5bf0-449e-a09a-1cdbdbd503de,097f6b30-6c02-4e99-8e75-794640936b75,animal,Charadriiformes,0.92,addaxai VIC,Oryctolagus cuniculus,oryctolagus cuniculus,charadriiformes
83efeba1-50ae-45df-be7b-72b365eaa67a,sequenceID:6e785723-dc9b-438b-ba34-2ca9016ca753,6e785723-dc9b-438b-ba34-2ca9016ca753,6e785723-dc9b-438b-ba34-2ca9016ca753,097f6b30-6c02-4e99-8e75-794640936b75,unclassified,Unclassified,0.0,,Oryctolagus cuniculus,oryctolagus cuniculus,unclassified
c930c76a-c84d-4009-8334-60d1d9b0f228,sequenceID:3d57fe84-5fa0-418c-842f-e42820c2c43e,3d57fe84-5fa0-418c-842f-e42820c2c43e,3d57fe84-5fa0-418c-842f-e42820c2c43e,097f6b30-6c02-4e99-8e75-794640936b75,animal,Leporidae,0.72,addaxai VIC,Oryctolagus cuniculus,oryctolagus cuniculus,leporidae
3445d741-29dd-48fe-bf3b-e3219cf2ab5c,sequenceID:b4ac1666-dfda-4ef7-b55b-d8562c44fa67,b4ac1666-dfda-4ef7-b55b-d8562c44fa67,b4ac1666-dfda-4ef7-b55b-d8562c44fa67,097f6b30-6c02-4e99-8e75-794640936b75,unclassified,Unclassified,0.0,,Oryctolagus cuniculus,oryctolagus cuniculus,unclassified
53dbb360-9df1-44cf-9436-e4099f10d756,sequenceID:14f429ff-4d62-453d-aa0e-1360903a5595,14f429ff-4d62-453d-aa0e-1360903a5595,14f429ff-4d62-453d-aa0e-1360903a5595,097f6b30-6c02-4e99-8e75-794640936b75,unclassified,Unclassified,0.0,,Oryctolagus cuniculus,oryctolagus cuniculus,unclassified
b0e4d784-bf94-461e-a9dd-0847c5231cb8,sequenceID:9d72901c-14b0-48e7-acc5-aa5506ce6009,9d72901c-14b0-48e7-acc5-aa5506ce6009,9d72901c-14b0-48e7-acc5-aa5506ce6009,097f6b30-6c02-4e99-8e75-794640936b75,unclassified,Unclassified,0.0,,Oryctolagus cuniculus,oryctolagus cuniculus,unclassified
