date,time,model,file_path,comment,parent_user,remapped_user,owner,lat,long,individuals,usertags,confidence,pred_species,size,fileid,frame,filename,true_species
2021-01-16,03:35:45.000,Fenrir,/opt/Datasets/Uploads/prd/7396/EVEL/ED05/Evelyn_Downs_2024_05_to_2024_06/EVEL~Evelyn_Downs_2024_05_to_2024_06~ED05~SYPW0057.JPG,,bush_heritage,bush_heritage,,0.0,0.0,,,0.8630757,bird,0.0013963347,172896400,0,EVEL~Evelyn_Downs_2024_05_to_2024_06~ED05~SYPW0057.JPG,blank
2024-06-08,12:50:24.000,Fenrir,/opt/Datasets/Uploads/prd/7396/EVEL/ED43/Evelyn_Downs_2024_05_to_2024_06/EVEL~Evelyn_Downs_2024_05_to_2024_06~ED43~SYPW0491.JPG,,bush_heritage,bush_heritage,,0.0,0.0,,,0.51337814,sheep,0.8731181,172909200,0,EVEL~Evelyn_Downs_2024_05_to_2024_06~ED43~SYPW0491.JPG,blank
2024-06-18,06:41:14.000,Fenrir,/opt/Datasets/Uploads/prd/7396/EVEL/ED43/Evelyn_Downs_2024_05_to_2024_06/EVEL~Evelyn_Downs_2024_05_to_2024_06~ED43~SYPW0514.JPG,,bush_heritage,bush_heritage,,0.0,0.0,,,0.66994417,cat,0.85584515,172910080,0,EVEL~Evelyn_Downs_2024_05_to_2024_06~ED43~SYPW0514.JPG,blank
2024-06-18,06:41:20.000,Fenrir,/opt/Datasets/Uploads/prd/7396/EVEL/ED43/Evelyn_Downs_2024_05_to_2024_06/EVEL~Evelyn_Downs_2024_05_to_2024_06~ED43~SYPW0518.JPG,,bush_heritage,bush_heritage,,0.0,0.0,,,0.8130186,cow,0.887943,172908240,0,EVEL~Evelyn_Downs_2024_05_to_2024_06~ED43~SYPW0518.JPG,blank
2024-06-24,02:20:46.000,Fenrir,/opt/Datasets/Uploads/prd/7396/EVEL/ED42/Evelyn_Downs_2024_05_to_2024_06/EVEL~Evelyn_Downs_2024_05_to_2024_06~ED42~SYPW0051.JPG,,bush_heritage,bush_heritage,,0.0,0.0,,,0.5002732,dog,0.06495421,172888560,0,EVEL~Evelyn_Downs_2024_05_to_2024_06~ED42~SYPW0051.JPG,blank
2024-06-24,02:20:46.000,Fenrir,/opt/Datasets/Uploads/prd/7396/EVEL/ED42/Evelyn_Downs_2024_05_to_2024_06/EVEL~Evelyn_Downs_2024_05_to_2024_06~ED42~SYPW0051.JPG,,bush_heritage,bush_heritage,,0.0,0.0,,,0.63986796,macropod,0.06212219,172888560,0,EVEL~Evelyn_Downs_2024_05_to_2024_06~ED42~SYPW0051.JPG,blank
2024-06-24,11:15:08.000,Fenrir,/opt/Datasets/Uploads/prd/7396/EVEL/ED32/Evelyn_Downs_2024_05_to_2024_06/EVEL~Evelyn_Downs_2024_05_to_2024_06~ED32~SYPW0017.JPG,,bush_heritage,bush_heritage,,0.0,0.0,,,0.80024874,bird,0.00143099,172904400,0,EVEL~Evelyn_Downs_2024_05_to_2024_06~ED32~SYPW0017.JPG,bird magpie
2024-06-25,21:11:06.000,Fenrir,/opt/Datasets/Uploads/prd/7396/EVEL/ED01/Evelyn_Downs_2024_05_to_2024_06/EVEL~Evelyn_Downs_2024_05_to_2024_06~ED01~SYPW0058.JPG,,bush_heritage,bush_heritage,,0.0,0.0,,,0.5710056,dog,0.7194196,172906160,0,EVEL~Evelyn_Downs_2024_05_to_2024_06~ED01~SYPW0058.JPG,blank
2024-06-27,01:42:04.000,Fenrir,/opt/Datasets/Uploads/prd/7396/EVEL/ED53/Evelyn_Downs_2024_05_to_2024_06/EVEL~Evelyn_Downs_2024_05_to_2024_06~ED53~100MEDIA~SYPW9517.JPG,,bush_heritage,bush_heritage,,0.0,0.0,,,0.89234084,pig,0.07142264,172900000,0,EVEL~Evelyn_Downs_2024_05_to_2024_06~ED53~100MEDIA~SYPW9517.JPG,blank
2024-06-27,12:43:04.000,Fenrir,/opt/Datasets/Uploads/prd/7396/EVEL/ED21/Evelyn_Downs_2024_05_to_2024_06/EVEL~Evelyn_Downs_2024_05_to_2024_06~ED21~SYPW0055.JPG,,bush_heritage,bush_heritage,,0.0,0.0,,,0.5186429,bird,0.0015223753,172910560,0,EVEL~Evelyn_Downs_2024_05_to_2024_06~ED21~SYPW0055.JPG,blank
2024-06-27,12:43:04.000,Fenrir,/opt/Datasets/Uploads/prd/7396/EVEL/ED21/Evelyn_Downs_2024_05_to_2024_06/EVEL~Evelyn_Downs_2024_05_to_2024_06~ED21~SYPW0055.JPG,,bush_heritage,bush_heritage,,0.0,0.0,,,0.7143958,bird magpie,0.0014958365,172910560,0,EVEL~Evelyn_Downs_2024_05_to_2024_06~ED21~SYPW0055.JPG,blank
2024-07-02,14:27:17.000,Fenrir,/opt/Datasets/Uploads/prd/7396/EVEL/ED37/Evelyn_Downs_2024_05_to_2024_06/EVEL~Evelyn_Downs_2024_05_to_2024_06~ED37~100MEDIA~SYPW2150.JPG,,bush_heritage,bush_heritage,,0.0,0.0,,,0.8407621,horse,0.013693192,172888640,0,EVEL~Evelyn_Downs_2024_05_to_2024_06~ED37~100MEDIA~SYPW2150.JPG,cow
