mediaID,mediaComments,sequenceID,eventID,deploymentID,observationType,scientificName,confidence,classifiedBy,deploymentTags,true_species,pred_species
dad587e6-fccc-4447-85dd-8a09a5be6cfd,sequenceID:ad584ff7-da16-464a-a2da-4a06cc3a5b07,ad584ff7-da16-464a-a2da-4a06cc3a5b07,ad584ff7-da16-464a-a2da-4a06cc3a5b07,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Carnivora,0.71,wildobs national,Felis catus,felis catus,carnivora
a63a2631-eda7-4603-8c72-3ed9eb9a3895,sequenceID:a4fecda0-ca86-4d6e-a498-9983489c46f3,a4fecda0-ca86-4d6e-a498-9983489c46f3,a4fecda0-ca86-4d6e-a498-9983489c46f3,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Vulpes vulpes,0.96,wildobs national,Felis catus,felis catus,vulpes vulpes
f94172f8-f6e1-4a0d-98dc-45e4561d7997,sequenceID:823ebf62-04eb-4c51-bfa5-8592719d42e6,823ebf62-04eb-4c51-bfa5-8592719d42e6,823ebf62-04eb-4c51-bfa5-8592719d42e6,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Trichosurus vulpecula,0.82,wildobs national,Felis catus,felis catus,trichosurus vulpecula
1fc8dbb5-3aa8-43c6-8a25-ae7b71cd7064,sequenceID:24b74f5d-1e3b-4858-83db-d43a5cd07c24,24b74f5d-1e3b-4858-83db-d43a5cd07c24,24b74f5d-1e3b-4858-83db-d43a5cd07c24,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Vulpes vulpes,0.95,wildobs national,Felis catus,felis catus,vulpes vulpes
9ca8c9e5-5b2f-4f73-904a-c16b748eaa99,sequenceID:2ab0de65-0850-43ed-83a0-3a32db95c95e,2ab0de65-0850-43ed-83a0-3a32db95c95e,2ab0de65-0850-43ed-83a0-3a32db95c95e,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Vulpes vulpes,0.87,wildobs national,Felis catus,felis catus,vulpes vulpes
46c0a7e5-fa7c-4cc5-b6fb-2e12ba7894a5,sequenceID:830ed474-92d4-4805-922a-87be7b426270,830ed474-92d4-4805-922a-87be7b426270,830ed474-92d4-4805-922a-87be7b426270,44e1d969-84b0-4df9-a821-81be2e5e6de0,unclassified,Unclassified,0.0,,Felis catus,felis catus,unclassified
2d672ff2-6d10-423c-b65f-84e75ab00cf4,sequenceID:fd00dd40-4f14-489c-8b38-e178af5c0a0e,fd00dd40-4f14-489c-8b38-e178af5c0a0e,fd00dd40-4f14-489c-8b38-e178af5c0a0e,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Heteromyias cinereifrons,1.0,wildobs national,Felis catus,felis catus,heteromyias cinereifrons
b43769a1-3e34-4ecd-a9f0-fbbf4fe7a06a,sequenceID:cd9db9c7-03f4-4298-b3a9-6d733718f44e,cd9db9c7-03f4-4298-b3a9-6d733718f44e,cd9db9c7-03f4-4298-b3a9-6d733718f44e,44e1d969-84b0-4df9-a821-81be2e5e6de0,unclassified,Unclassified,0.0,,Felis catus,felis catus,unclassified
df68c4f9-e662-462b-9f38-b656ea7aa3a6,sequenceID:4afbee43-a8c0-4738-b9cb-3e2e55772f21,4afbee43-a8c0-4738-b9cb-3e2e55772f21,4afbee43-a8c0-4738-b9cb-3e2e55772f21,44e1d969-84b0-4df9-a821-81be2e5e6de0,unclassified,Unclassified,0.0,,Felis catus,felis catus,unclassified
10a6fa36-4793-4a52-bd32-b5f3d71e93d6,sequenceID:a4391ddd-bf6d-46f5-83e0-6500bb89f99c,a4391ddd-bf6d-46f5-83e0-6500bb89f99c,a4391ddd-bf6d-46f5-83e0-6500bb89f99c,44e1d969-84b0-4df9-a821-81be2e5e6de0,human,Homo sapiens,1.0,wildobs national,Felis catus,felis catus,homo sapiens
d4c7bd0b-0884-49e8-81ef-ffaee9aac2ea,sequenceID:5c1865d6-01e5-41da-9a9c-1a20160643a5,5c1865d6-01e5-41da-9a9c-1a20160643a5,5c1865d6-01e5-41da-9a9c-1a20160643a5,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Trichosurus caninus,1.0,wildobs national,Felis catus,felis catus,trichosurus caninus
3335b88d-fe71-48a1-baa3-49dc1a670d7c,sequenceID:c731d81e-6993-43c1-8b6e-20f6db11a299,c731d81e-6993-43c1-8b6e-20f6db11a299,c731d81e-6993-43c1-8b6e-20f6db11a299,44e1d969-84b0-4df9-a821-81be2e5e6de0,human,Homo sapiens,0.87,wildobs national,Felis catus,felis catus,homo sapiens
077862e0-1d41-4bb3-ab6b-6e54e2422faa,sequenceID:49fc80f8-73e5-411c-95f7-063516b8c73d,49fc80f8-73e5-411c-95f7-063516b8c73d,49fc80f8-73e5-411c-95f7-063516b8c73d,44e1d969-84b0-4df9-a821-81be2e5e6de0,human,Homo sapiens,0.89,wildobs national,Felis catus,felis catus,homo sapiens
64a2c705-5903-467f-8dc4-a8dd746f9234,sequenceID:6f090ee1-bdde-4361-81d2-db12666806cc,6f090ee1-bdde-4361-81d2-db12666806cc,6f090ee1-bdde-4361-81d2-db12666806cc,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Corcorax melanorhamphos,0.74,wildobs national,Felis catus,felis catus,corcorax melanorhamphos
16b03a66-ba19-4b79-910b-5c654c48f781,sequenceID:d2621b8e-bd9d-4654-9860-52c790383039,d2621b8e-bd9d-4654-9860-52c790383039,d2621b8e-bd9d-4654-9860-52c790383039,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Corcorax melanorhamphos,0.85,wildobs national,Felis catus,felis catus,corcorax melanorhamphos
00ca92a8-4330-4c34-a8f8-c1e7d12a80eb,sequenceID:6503a590-b31d-4680-8383-c37072493c8e,6503a590-b31d-4680-8383-c37072493c8e,6503a590-b31d-4680-8383-c37072493c8e,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Passeriformes,0.98,wildobs national,Felis catus,felis catus,passeriformes
5ddf9515-7092-488f-b843-2036ad9a271a,sequenceID:5b0028d5-62e7-459e-9a62-440e0bb7cd02,5b0028d5-62e7-459e-9a62-440e0bb7cd02,5b0028d5-62e7-459e-9a62-440e0bb7cd02,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Burhinus grallarius,0.89,wildobs national,Felis catus,felis catus,burhinus grallarius
d848ded3-c04f-40c1-ae38-cbccf6c740ad,sequenceID:e510f538-bd90-44fd-ab35-3393119a2535,e510f538-bd90-44fd-ab35-3393119a2535,e510f538-bd90-44fd-ab35-3393119a2535,44e1d969-84b0-4df9-a821-81be2e5e6de0,unclassified,Unclassified,0.0,,Felis catus,felis catus,unclassified
225103d0-b661-41ce-8c0f-cdb4bb9a9fa3,sequenceID:c5a628db-b439-4869-a9b3-388f3d061657,c5a628db-b439-4869-a9b3-388f3d061657,c5a628db-b439-4869-a9b3-388f3d061657,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Perameles nasuta,0.98,wildobs national,Felis catus,felis catus,perameles nasuta
2835867f-a337-4d72-950b-fbd41db32cc1,sequenceID:f2bf9bc8-6653-4f21-8342-6e42af7cc8ed,f2bf9bc8-6653-4f21-8342-6e42af7cc8ed,f2bf9bc8-6653-4f21-8342-6e42af7cc8ed,44e1d969-84b0-4df9-a821-81be2e5e6de0,unclassified,Unclassified,0.67,wildobs national,Felis catus,felis catus,unclassified
fa312818-ecfc-41a9-a96a-69fa9bc4828f,sequenceID:41246c5f-1d30-4c56-a338-f6e08bb908ad,41246c5f-1d30-4c56-a338-f6e08bb908ad,41246c5f-1d30-4c56-a338-f6e08bb908ad,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Perameles nasuta,0.9,wildobs national,Felis catus,felis catus,perameles nasuta
c4c753c4-7108-4ea5-90a6-187935974dbd,sequenceID:fc441fa2-1f24-407e-a902-502c44446f79,fc441fa2-1f24-407e-a902-502c44446f79,fc441fa2-1f24-407e-a902-502c44446f79,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Mammalia,0.8,wildobs national,Felis catus,felis catus,mammalia
95f60f64-82ed-44a5-91ed-2fa9732cc8bd,sequenceID:2411f391-ad68-47bc-9999-595be1947001,2411f391-ad68-47bc-9999-595be1947001,2411f391-ad68-47bc-9999-595be1947001,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Perameles nasuta,0.97,wildobs national,Felis catus,felis catus,perameles nasuta
f6c85520-d6fd-49b8-a231-33351907f485,sequenceID:478d3f4b-9037-47e1-b4db-3bb31471e633,478d3f4b-9037-47e1-b4db-3bb31471e633,478d3f4b-9037-47e1-b4db-3bb31471e633,44e1d969-84b0-4df9-a821-81be2e5e6de0,animal,Mammalia,0.75,wildobs national,Felis catus,felis catus,mammalia
b6665861-dae4-434f-b919-4fdd57e7e19a,sequenceID:bf67e70a-0fbd-40b2-8c14-ec36d0ec25a5,bf67e70a-0fbd-40b2-8c14-ec36d0ec25a5,bf67e70a-0fbd-40b2-8c14-ec36d0ec25a5,44e1d969-84b0-4df9-a821-81be2e5e6de0,human,Homo sapiens,1.0,wildobs national,Felis catus,felis catus,homo sapiens
6febb16d-f182-479d-8fc4-29935f6929bb,sequenceID:8ba69cf5-67b8-47b2-9e39-e9927d01acde,8ba69cf5-67b8-47b2-9e39-e9927d01acde,8ba69cf5-67b8-47b2-9e39-e9927d01acde,44e1d969-84b0-4df9-a821-81be2e5e6de0,unclassified,Unclassified,0.0,,Felis catus,felis catus,unclassified
